,country,year,cause,Deaths,DALYs,Incidence,income_level,income_level_mode,gdp,health_exp
3118,South Africa,2009,Chronic respiratory diseases,54.99689229238784,1642.501494662263,1035.181381108,UM,UM,6374.70560042992,7.64941454
3119,South Africa,2009,Environmental heat and cold exposure,0.9656712337734008,50.47324458749827,45.70145592895,UM,UM,6374.70560042992,7.64941454
3120,South Africa,2010,Cardiovascular diseases,253.56742923118043,5815.141803087934,608.9209420734401,UM,UM,7973.47195771517,7.79358244
3121,South Africa,2010,Chronic respiratory diseases,54.59184677801564,1627.9787832281986,1041.01366231827,UM,UM,7973.47195771517,7.79358244
3122,South Africa,2010,Environmental heat and cold exposure,0.9543785491024238,49.56418413718053,45.2897079183,UM,UM,7973.47195771517,7.79358244
3123,South Africa,2011,Cardiovascular diseases,257.5799970425679,5868.203450671284,600.31964558243,UM,UM,8646.05571071635,7.94434404
3124,South Africa,2011,Chronic respiratory diseases,54.37512044029008,1609.338848336916,1038.341743905,UM,UM,8646.05571071635,7.94434404
3125,South Africa,2011,Environmental heat and cold exposure,0.9440775288688192,48.62209048761925,44.35082469815,UM,UM,8646.05571071635,7.94434404
3126,South Africa,2012,Cardiovascular diseases,253.01383790963592,5754.969423611407,587.22669436329,UM,UM,8076.97678479741,8.00428867
3127,South Africa,2012,Chronic respiratory diseases,53.4371256467675,1577.6925330262422,1030.82631013357,UM,UM,8076.97678479741,8.00428867
3128,South Africa,2012,Environmental heat and cold exposure,0.940381350340004,48.21708857319597,42.77432745789,UM,UM,8076.97678479741,8.00428867
3129,South Africa,2013,Cardiovascular diseases,251.3050218173584,5689.2420131675335,572.60192264622,UM,UM,7331.65467384919,8.10322285
3130,South Africa,2013,Chronic respiratory diseases,52.5515530930096,1544.31572301745,1022.42593661478,UM,UM,7331.65467384919,8.10322285
3131,South Africa,2013,Environmental heat and cold exposure,0.9236704302670028,47.14167850288871,41.00819736114,UM,UM,7331.65467384919,8.10322285
3132,South Africa,2014,Cardiovascular diseases,253.9409529696086,5704.312974818257,559.42055870703,UM,UM,6856.73137092522,7.87136555
3133,South Africa,2014,Chronic respiratory diseases,52.61967194678061,1530.926695841801,1017.17036548778,UM,UM,6856.73137092522,7.87136555
3134,South Africa,2014,Environmental heat and cold exposure,0.910636126038608,46.10771937050341,39.5006810128,UM,UM,6856.73137092522,7.87136555
3135,South Africa,2015,Cardiovascular diseases,253.13238683284143,5652.185247505343,550.6619767862401,UM,UM,6112.27382485974,8.05304241
3136,South Africa,2015,Chronic respiratory diseases,52.349306687298544,1511.0747191248656,1019.06048592395,UM,UM,6112.27382485974,8.05304241
3137,South Africa,2015,Environmental heat and cold exposure,0.8895708093796455,44.78934794179933,38.69963800002,UM,UM,6112.27382485974,8.05304241
3138,South Africa,2016,Cardiovascular diseases,247.22104826614523,5508.850510259442,545.19131610664,UM,UM,5651.20585165749,8.07959366
3139,South Africa,2016,Chronic respiratory diseases,51.39647473511791,1488.99363938095,1070.4383714965402,UM,UM,5651.20585165749,8.07959366
3140,South Africa,2016,Environmental heat and cold exposure,0.8879329701500009,44.63659169511512,38.48414376875,UM,UM,5651.20585165749,8.07959366
3141,South Africa,2017,Cardiovascular diseases,237.96456822336108,5317.144666264307,540.03091017336,UM,UM,6618.33508255701,7.97711372
